user_id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,pitch_mean,energy_mean,zcr_mean,rolloff_mean
2,-706.5024,47.573006,-4.979024,15.478583,-6.700446,-8.190189,-10.729736,-5.859104,-8.144342,-8.805769,-13.906991,-7.204803,-6.331704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.861822,0.002244,0.349528,5158.69751
2,-707.33,68.29494,-16.724491,5.742188,-16.504171,-9.529563,-14.239332,-4.03551,-13.376153,-9.006995,-6.774745,-7.127658,-10.868526,0.084102,0.348665,0.563702,0.288054,0.042375,0.054389,-0.013653,-0.055243,-0.014248,-0.003158,-0.018928,0.023742,-0.014411,-0.14135,-0.209463,-0.118002,0.189587,0.174117,0.079024,0.069229,-0.038034,0.050474,-0.059618,-0.102208,-0.022429,-0.015882,59.485078,0.002785,0.237325,3922.033691
2,-716.3306,47.529484,-12.078428,13.745794,-9.454278,-13.389875,-12.188526,-1.600915,-11.093731,-3.798371,-11.626661,-6.336901,-6.763354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.288726,0.00242,0.427212,6040.063477
2,-708.8798,36.508137,2.062548,12.906356,-7.662818,-11.46034,-13.360913,-7.883911,-13.163633,-8.242219,-12.306372,-8.642763,-7.110993,0.016521,0.034898,0.052261,0.056395,0.037156,-0.007887,-0.051366,-0.072399,-0.06981,-0.045731,-0.021017,-0.007992,-0.000715,-0.120489,-0.150039,-0.090936,-0.013887,0.053108,0.094053,0.095994,0.067044,0.030778,0.00173,-0.007309,0.001115,0.010787,49.75334,0.00239,0.388487,5569.174194
2,-661.2711,32.55216,0.64057,18.377317,-12.271645,-13.862719,-14.105213,-4.845954,-19.339758,-9.246782,-12.87209,-4.264143,-4.821705,0.79918,0.121052,0.335154,-0.060137,-0.120522,0.245001,-0.355782,0.144142,-0.122693,0.056039,-0.087422,-0.181687,-0.007966,-0.24691,-0.423205,0.108486,0.154502,0.026493,0.081425,-0.04193,0.063382,-0.039587,-0.000861,0.049098,0.080376,-0.030958,48.393976,0.003415,0.404503,5881.953939
2,-781.32733,39.481445,-0.96909,16.159513,-2.877425,-4.280173,-10.230986,-4.233552,-12.191406,-11.088824,-14.214748,-4.132304,-6.556458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.502459,0.001201,0.460852,6443.811035
2,-648.6815,37.718613,-15.138666,4.762033,-6.457965,-9.75342,-19.061964,-1.20392,-12.646405,-6.147646,-10.897705,-5.783387,-8.665245,-0.032678,-0.133988,0.019997,-0.084414,-0.059217,0.055461,-0.035993,0.070018,-0.011755,0.059959,0.046857,0.023675,0.037493,-0.123973,0.224097,-0.112136,0.031705,0.094593,-0.117447,0.080784,-0.081879,0.063026,-0.065361,0.018605,-0.015186,-0.00566,53.566863,0.004463,0.409424,5863.112386
2,-703.9903,47.243263,-10.90757,10.963221,-14.619884,-5.709714,-14.015202,-9.97866,-15.476746,-10.39469,-15.589996,-4.337908,-8.614781,0.361058,0.44334,0.313529,0.076616,0.129612,0.103824,-0.049458,-0.057745,-0.013699,-0.138003,-0.115016,-0.063381,-0.109704,0.165725,0.107025,0.027269,-0.041188,-0.000467,0.019056,0.01499,0.000334,0.055973,0.027698,0.009109,0.035058,0.031452,57.389752,0.003272,0.374046,5523.515828
2,-688.9304,30.643717,-11.98165,7.456059,-6.741345,-4.94681,-5.349505,-4.26495,-6.87026,-5.420725,-7.841442,-3.591129,-5.251403,0.081016,0.04384,-0.012353,0.054451,0.092546,0.044833,0.000956,0.009281,0.059141,0.065155,-0.006624,-0.025783,0.035664,-0.03154,0.026481,0.070679,0.002928,-0.002744,0.035067,0.010504,-0.004138,0.021107,0.030129,0.012959,-0.021022,-0.018567,50.348166,0.002634,0.446725,6056.362915
2,-714.0319,44.24081,-4.043425,20.139225,-4.034562,-8.247655,-17.617731,-6.038473,-14.127235,-10.484872,-12.627692,-5.212179,-9.932484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.59347,0.002626,0.373504,5379.21346
2,-671.3466,33.193726,-1.396432,16.69987,-10.500305,-15.627916,-6.367077,-2.957591,-17.431396,-8.395885,-11.801449,-8.006328,-6.522119,0.319915,0.368365,0.262172,0.236429,0.142157,-0.011708,-0.023547,0.046441,-0.009445,-0.108853,-0.092464,-0.059986,-0.092251,-0.016058,0.031633,0.084641,0.048174,0.033228,0.073388,0.044429,-0.03485,-0.018511,0.056407,0.051391,0.004842,0.009511,59.058152,0.003609,0.310563,4685.166423
2,-682.1697,31.756393,-4.475687,10.109406,-7.796078,-5.959786,-16.819597,-8.321813,-12.505522,-7.198676,-16.072752,-5.849384,-5.308424,0.83415,0.263469,-0.23169,0.427924,0.147053,-0.401324,-0.252944,-0.006024,0.023951,-0.076799,-0.048458,0.050532,0.041635,-0.21673,0.027185,0.130969,-0.131251,0.011841,0.095898,0.013973,0.014201,-0.036005,-0.006522,0.036973,-0.023797,-0.02102,53.553379,0.002824,0.329542,5619.119263
2,-626.5546,32.93473,-8.842143,5.571568,-3.768259,-11.615026,-10.653734,-4.593708,-11.6227,-7.731494,-9.202725,-5.221085,-3.105891,0.130166,0.168664,0.24802,0.414133,0.197827,-0.094732,-0.073209,-0.082975,-0.110718,-0.1516,-0.086306,-0.030963,-0.050442,-0.044876,-0.021109,0.066447,0.024185,-0.01121,0.041805,0.059853,0.058532,0.004596,-0.006151,-0.022675,-0.021345,-0.008759,50.294211,0.003301,0.437563,5969.332886
2,-636.12604,36.98003,-7.779702,10.120561,-10.704405,-15.58441,-11.007985,-6.570846,-18.019444,-8.384452,-9.263551,-4.387695,-5.155081,0.666946,0.290161,0.045369,0.566691,0.237604,-0.301503,-0.244369,-0.00978,0.011224,-0.151788,-0.119571,-0.023606,0.018494,-0.104752,-0.038085,0.10439,0.067068,0.054219,0.163039,0.153278,-0.01466,-0.038301,0.015799,0.022793,0.024732,-0.052034,64.982768,0.003775,0.272359,4252.757772
2,-662.6871,34.29619,-7.941639,12.214599,-3.145033,-9.185152,-9.622087,-0.228162,-15.676728,-8.682511,-6.029337,-8.032576,-3.67424,1.332394,0.763363,-0.420038,-0.189527,-0.033105,-0.33969,-0.141409,0.184468,-0.104704,-0.043084,0.013621,-0.20719,0.026656,-0.064216,-0.055859,0.063937,0.075932,-0.053374,0.015129,0.068498,-0.025392,0.020446,0.007027,-0.011113,0.037499,-0.008804,50.586599,0.003877,0.330944,4853.693644
2,-729.6535,54.280403,-9.030003,18.974634,-5.94736,-11.477882,-12.443006,-3.655954,-15.945319,-11.070337,-14.455671,-0.372221,-10.94445,1.011601,0.803626,0.085741,0.034621,0.198256,0.076149,0.040204,0.029785,-0.070542,-0.196159,-0.12356,0.032946,0.005104,0.336778,0.168683,-0.097316,-0.083307,-0.010346,-0.056726,0.024334,0.08537,0.083374,0.009969,-0.020079,0.018749,0.027882,50.73941,0.002422,0.372864,5316.159058
2,-675.55396,60.341995,-7.530694,13.030304,-15.444054,-1.748157,-12.037414,-5.142788,-17.887896,-9.573265,-6.828748,-8.073676,-15.049201,0.298431,-0.407306,-0.146068,0.117435,-0.178667,0.114789,-0.210734,0.068041,0.19611,-0.182074,0.003289,0.20099,-0.075008,-0.26047,0.352233,0.026513,-0.056803,0.122138,-0.100929,0.143934,-0.098247,-0.038076,-0.002814,0.062603,-0.130935,0.007614,56.230731,0.003047,0.247663,4241.692098
2,-725.75494,43.633785,-2.22728,12.128633,-8.020447,-2.994419,-15.241094,-12.521507,-18.480503,-3.622805,-9.122305,-5.787899,-5.24377,-0.133494,-0.102023,-0.091437,-0.121269,-0.025015,-0.010317,0.002459,0.036646,0.038365,0.064373,0.021195,0.027818,0.059245,0.080054,0.055784,0.044827,0.068962,0.007226,-0.010188,-0.007928,-0.028025,-0.033622,-0.037913,-0.008702,-0.012067,-0.026425,46.903854,0.002339,0.456613,6341.478475
2,-646.1564,29.029984,4.632792,17.084063,-4.509881,-5.895951,-9.353275,-5.372207,-15.415344,-8.211699,-7.279803,-6.498932,-4.467848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.526414,0.003119,0.424904,5885.443115
2,-674.7632,46.884377,-0.132741,27.983486,-7.993115,-5.879647,-23.02649,-4.364264,-19.839209,-12.28782,-14.297789,-9.291462,-9.809989,1.02786,0.882068,-0.104365,0.479306,0.234222,-0.455825,0.010744,-0.015292,-0.077777,-0.271048,-0.059492,0.054399,-0.069039,-0.06613,0.107079,0.067035,-0.339694,-0.005061,0.188293,-0.002191,0.030016,0.126523,0.117218,-0.021713,0.002885,0.072041,55.770397,0.003486,0.253352,4266.016642
2,-730.3771,32.647842,-3.550886,20.813847,-13.908661,-6.588657,-6.987283,-0.283396,-8.738524,-9.137807,-17.149975,-7.77178,-7.476591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.302495,0.00241,0.469512,6432.346598
2,-715.1288,43.661922,-8.165019,15.358946,-4.355847,-11.395741,-14.811824,-4.38045,-18.54134,-6.410029,-11.588027,-9.234386,-8.048988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.430442,0.002778,0.347625,5497.097778
2,-713.31104,55.750237,-5.595721,10.771043,-10.38383,-8.862695,-11.210608,-5.339762,-16.719719,-3.481346,-12.308567,-9.790483,-5.994224,0.063865,-0.049023,-0.03683,0.088408,-0.058984,-0.023427,0.082865,-0.065917,-0.009945,0.074233,-0.06934,0.002507,0.063342,-0.042768,0.032161,0.026155,-0.059706,0.037291,0.019583,-0.057418,0.041285,0.012784,-0.053742,0.043943,0.006108,-0.048879,66.945182,0.00273,0.348721,4909.171549
2,-714.41205,44.294632,-15.116724,13.551027,-10.953017,-9.625647,-6.420329,-3.275244,-10.785894,-6.86162,-9.54874,-6.929538,-6.427755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.943169,0.002632,0.35909,5285.304769
2,-660.509,39.565704,-1.583287,18.600853,-4.934981,-9.866783,-13.119024,-2.017294,-15.210869,-10.517244,-10.754741,-6.573654,-7.265548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.755067,0.002742,0.330343,5225.34078
